,id,set,img_file,raw_img_dir,img_rename,img_format
0,b3c9bb,train,"b3c9bb_[15439,53451]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b3c9bb_[15439,53451]_composite_image.jpg",raw
1,b3c9bb,train,"b3c9bb_[15439,53451]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b3c9bb_[15439,53451]_composite_image.jpg",red
2,b3c9bb,train,"b3c9bb_[15439,53451]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b3c9bb_[15439,53451]_composite_image.jpg",blue
3,a7b285,test,"a7b285_[10654,60207]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a7b285_[10654,60207]_composite_image.jpg",raw
4,a7b285,test,"a7b285_[10654,60207]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a7b285_[10654,60207]_composite_image.jpg",red
5,a7b285,test,"a7b285_[10654,60207]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a7b285_[10654,60207]_composite_image.jpg",blue
6,aea82d,train,"aea82d_[12666,44364]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_aea82d_[12666,44364]_composite_image.jpg",raw
7,aea82d,train,"aea82d_[12666,44364]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_aea82d_[12666,44364]_composite_image.jpg",red
8,aea82d,train,"aea82d_[12666,44364]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_aea82d_[12666,44364]_composite_image.jpg",blue
9,a801cb,train,"a801cb_[14912,36243]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a801cb_[14912,36243]_composite_image.jpg",raw
10,a801cb,train,"a801cb_[14912,36243]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a801cb_[14912,36243]_composite_image.jpg",red
11,a801cb,train,"a801cb_[14912,36243]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a801cb_[14912,36243]_composite_image.jpg",blue
12,b1abe7,train,"b1abe7_[15934,31162]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b1abe7_[15934,31162]_composite_image.jpg",raw
13,b1abe7,train,"b1abe7_[15934,31162]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b1abe7_[15934,31162]_composite_image.jpg",red
14,b1abe7,train,"b1abe7_[15934,31162]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b1abe7_[15934,31162]_composite_image.jpg",blue
15,b3c9bb,train,"b3c9bb_[16699,54588]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b3c9bb_[16699,54588]_composite_image.jpg",raw
16,b3c9bb,train,"b3c9bb_[16699,54588]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b3c9bb_[16699,54588]_composite_image.jpg",red
17,b3c9bb,train,"b3c9bb_[16699,54588]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b3c9bb_[16699,54588]_composite_image.jpg",blue
18,a801cb,train,"a801cb_[13408,36249]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a801cb_[13408,36249]_composite_image.jpg",raw
19,a801cb,train,"a801cb_[13408,36249]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a801cb_[13408,36249]_composite_image.jpg",red
20,a801cb,train,"a801cb_[13408,36249]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a801cb_[13408,36249]_composite_image.jpg",blue
21,ab55eb,train,"ab55eb_[16499,49454]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ab55eb_[16499,49454]_composite_image.jpg",raw
22,ab55eb,train,"ab55eb_[16499,49454]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ab55eb_[16499,49454]_composite_image.jpg",red
23,ab55eb,train,"ab55eb_[16499,49454]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ab55eb_[16499,49454]_composite_image.jpg",blue
24,ac3e32,test,"ac3e32_[12615,48956]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_ac3e32_[12615,48956]_composite_image.jpg",raw
25,ac3e32,test,"ac3e32_[12615,48956]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_ac3e32_[12615,48956]_composite_image.jpg",red
26,ac3e32,test,"ac3e32_[12615,48956]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_ac3e32_[12615,48956]_composite_image.jpg",blue
27,a89f20,train,"a89f20_[12143,47732]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a89f20_[12143,47732]_composite_image.jpg",raw
28,a89f20,train,"a89f20_[12143,47732]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a89f20_[12143,47732]_composite_image.jpg",red
29,a89f20,train,"a89f20_[12143,47732]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a89f20_[12143,47732]_composite_image.jpg",blue
30,b41668,train,"b41668_[16006,54704]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_b41668_[16006,54704]_composite_image.jpg",raw
31,b41668,train,"b41668_[16006,54704]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_b41668_[16006,54704]_composite_image.jpg",red
32,b41668,train,"b41668_[16006,54704]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_b41668_[16006,54704]_composite_image.jpg",blue
33,a54803,train,"a54803_[11950,39492]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a54803_[11950,39492]_composite_image.jpg",raw
34,a54803,train,"a54803_[11950,39492]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a54803_[11950,39492]_composite_image.jpg",red
35,a54803,train,"a54803_[11950,39492]_composite_image.jpg",cell_infla_1,"blue_cell_infla_1_a54803_[11950,39492]_composite_image.jpg",blue
36,a89f20,train,"a89f20_[10943,50287]_composite_image.jpg",cell_infla_1,"raw_cell_infla_1_a89f20_[10943,50287]_composite_image.jpg",raw
37,a89f20,train,"a89f20_[10943,50287]_composite_image.jpg",cell_infla_1,"red_cell_infla_1_a89f20_[10943,50287]_composite_image.jpg",red
